Date,2015-04-25T09:48:48.246979
subject, treatment, number of oysters, cooked option, chosen option, option 1, option 2, option 3, option 4, option 5, option 6, option 7, option 8
,,,,, 1.73525563394, 2.15403038345, 2.70481368407, 1.0849848933, 0.412629738766, 1.53346241369, 2.10062198861, 0.875019036684
,,,,, No, No, No, Yes, No, No, No, No
1004, C, 3, Fried, 6, unknown, moderate, unknown, high, high, moderate, low, low
,,,,, 1.01773353984, 1.80149542604, 2.22500191081, 0.997163918544, 2.41168407837, 1.63949553453, 2.85587962063, 1.98518114325
,,,,, No, No, No, Yes, No, No, No, No
1154, B, 3, Raw on the half shell, 7, low, moderate, low, high, unknown, high, moderate, unknown
,,,,, 0.617602178493, 1.68092948141, 0.261533537846, 1.17543317052, 2.08737723785, 0.765746865978, 2.96889422716, 1.3723371952
,,,,, Yes, Yes, Yes, Yes, No, Yes, No, No
1170, C, 3, Fried, 7, high, low, unknown, moderate, low, high, unknown, moderate
,,,,, 0.870918424909, 2.27311376908, 2.51071974038, 1.45020136535, 2.35819376273, 1.30369102365, 1.9727189687, 1.08111663767
,,,,, Yes, No, No, No, No, Yes, No, Yes
1138, A, 6, Fried, 5, high, low, unknown, low, moderate, high, unknown, moderate
,,,,, 0.892105874589, 1.39142464131, 2.04162324858, 1.45938488124, 1.02865160149, 1.80761063813, 1.8509706348, 1.65973825788
,,,,, Yes, No, No, Yes, Yes, Yes, No, Yes
1187, C, 6, Fried, 4, high, low, high, unknown, moderate, unknown, low, moderate
,,,,, 1.20592448172, 1.84854890413, 1.99551571225, 2.07847401078, 1.42086939829, 1.6413073119, 2.66157101519, 1.42253304666
,,,,, Yes, No, Yes, No, Yes, No, No, Yes
814, B, 3, Fried, 1, high, unknown, moderate, moderate, low, high, unknown, low
,,,,, 1.96188084124, 3.21079128598, 1.9475063022, 0.514994124601, 1.79365232573, 1.68585560432, 1.57386053437, 1.99025212036
,,,,, Yes, Yes, No, Yes, Yes, No, No, No
1124, A, 3, Fried, 5, unknown, low, high, moderate, unknown, low, moderate, high
,,,,, 1.38672789464, 0.844708442516, 2.39641663507, 1.4564928251, 1.28031415353, 1.80171927578, 0.647436946906, 1.40807623343
,,,,, No, No, No, No, No, No, No, No
869, C, 3, Fried, 4, unknown, low, high, moderate, unknown, low, moderate, high
,,,,, 1.3548219592, 1.54652520171, 1.23266055555, 0.611631927508, 1.36353845297, 1.82136756164, 1.66901936077, 2.18253899713
,,,,, No, No, No, No, No, No, No, No
822, C, 3, Raw on the half shell, 7, low, unknown, moderate, high, low, high, unknown, moderate
,,,,, 1.97655358709, 1.39309162116, 1.62392486783, 1.29940176591, 1.33376963463, 1.75078059685, 1.84140610534, 1.48497564506
,,,,, No, No, Yes, No, Yes, No, No, Yes
907, A, 6, Raw on the half shell, 8, low, high, unknown, high, moderate, moderate, unknown, low
,,,,, 1.15525718026, 1.52458169866, 2.37074338769, 2.38731812692, 1.36460610661, 1.60826311031, 0.500207431929, 1.03077133321
,,,,, No, No, No, No, No, Yes, No, No
1156, B, 6, Fried, 3, moderate, high, moderate, low, unknown, unknown, low, high
,,,,, 2.65027855236, 2.21574372013, 1.71591859847, 1.04105034297, 1.56225984672, 2.05509997723, 0.616738065482, 1.88338209049
,,,,, No, No, No, Yes, Yes, No, Yes, No
807, B, 3, Raw on the half shell, 2, low, high, unknown, high, low, moderate, moderate, unknown
,,,,, 1.40961276064, 1.2233357237, 1.81512274911, 2.15226638931, 0.755304868391, 1.37313127986, 2.69030196337, 1.77653519966
,,,,, Yes, No, No, No, Yes, Yes, No, No
806, B, 6, In a bag with ice, 8, moderate, unknown, high, low, low, high, moderate, unknown
,,,,, 1.50404322478, 1.12482271336, 1.41254392652, 0.718973269313, 0.995826765246, 1.1918441528, 1.46465241429, 1.70873691094
,,,,, Yes, Yes, Yes, No, No, Yes, Yes, No
