Date,2015-04-25T09:48:48.246979
subject, treatment, number of oysters, cooked option, chosen option, option 1, option 2, option 3, option 4, option 5, option 6
1213, None, 3, Fried, 2, Oysters from Long Island NY. These are wild-caught oysters., Oysters from Long Island NY. These are wild-caught oysters., Oysters from Chesapeake Bay in VA. These are aquacultured oysters., <em>Little Bitches</em> oysters from Chesapeake Bay in VA., <em>Nauti Pilgrim</em> oysters. These are aquacultured oysters., <em>Blue Point</em> oysters from Long Island NY.
,,,,, 2.57544407859, 1.42927954151, 1.45828294522, 1.87233925365, 0, 1.37552888737
,,,,, No, No, No, No, Yes, Yes
768, None, 3, Fried, 4, <em>Nauti Pilgrim</em> oysters from Plymouth Rock MA., <em>Nauti Pilgrim</em> oysters. These are aquacultured oysters., <em>Little Bitches</em> oysters. These are aquacultured oysters., Oysters from Plymouth Rock MA. These are aquacultured oysters., <em>Blue Point</em> oysters. These are wild-caught oysters., Oysters from Chesapeake Bay in VA. These are aquacultured oysters.
,,,,, 2.15869260546, 1.57032425881, 0.757405755109, 1.64214011344, 2.11907503361, 2.52189985957
,,,,, No, No, No, No, No, No
853, None, 3, In a bag with ice, 5, <em>Nauti Pilgrim</em> oysters from Plymouth Rock MA., <em>Little Bitches</em> oysters. These are aquacultured oysters., <em>Blue Point</em> oysters. These are wild-caught oysters., <em>Blue Point</em> oysters from Long Island NY., Oysters from Long Island NY. These are wild-caught oysters., <em>Little Bitches</em> oysters from Chesapeake Bay in VA.
,,,,, 2.40878643286, 1.02285003903, 1.02660568784, 2.13721416207, 0.953690389567, 1.52593347921
,,,,, No, No, Yes, No, No, No
859, None, 3, In a bag with ice, 3, Oysters from Plymouth Rock MA. These are aquacultured oysters., Oysters from Chesapeake Bay in VA. These are aquacultured oysters., <em>Blue Point</em> oysters from Long Island NY., <em>Nauti Pilgrim</em> oysters. These are aquacultured oysters., Oysters from Chesapeake Bay in VA. These are aquacultured oysters., <em>Little Bitches</em> oysters from Chesapeake Bay in VA.
,,,,, 1.99913015406, 0.606959687385, 1.32091482071, 2.12547478164, 1.05545428282, 1.99559234343
,,,,, No, No, No, No, No, No
773, None, 3, Raw on the half shell, 2, <em>Blue Point</em> oysters from Long Island NY., <em>Nauti Pilgrim</em> oysters from Plymouth Rock MA., <em>Little Bitches</em> oysters. These are aquacultured oysters., <em>Blue Point</em> oysters. These are wild-caught oysters., Oysters from Plymouth Rock MA. These are aquacultured oysters., <em>Little Bitches</em> oysters from Chesapeake Bay in VA.
,,,,, 1.87196016424, 1.24726483561, 1.66116493518, 1.57077643243, 1.5805641176, 0.599390791
,,,,, No, Yes, No, No, No, Yes
